layer_height,wall_thickness,infill_density,infill_pattern,nozzle_temperature,bed_temperature,print_speed,material,fan_speed,roughness,tension_strength,elongation
0.02,8.0,90,grid,220,60,40,abs,0,25,18,1.2
0.02,7.0,90,honeycomb,225,65,40,abs,25,32,16,1.4
0.02,1.0,80,grid,230,70,40,abs,50,40,8,0.8
0.02,4.0,70,honeycomb,240,75,40,abs,75,68,10,0.5
0.02,6.0,90,grid,250,80,40,abs,100,92,5,0.7
0.02,10.0,40,honeycomb,200,60,40,pla,0,60,24,1.1
0.02,5.0,10,grid,205,65,40,pla,25,55,12,1.3
0.02,10.0,10,honeycomb,210,70,40,pla,50,21,14,1.5
0.02,9.0,70,grid,215,75,40,pla,75,24,27,1.4
0.02,8.0,40,honeycomb,220,80,40,pla,100,30,25,1.7
0.06,6.0,80,grid,220,60,60,abs,0,75,37,2.4
0.06,2.0,20,honeycomb,225,65,60,abs,25,92,12,1.4
0.06,10.0,50,grid,230,70,60,abs,50,118,16,1.3
0.06,6.0,10,honeycomb,240,75,60,abs,75,200,9,0.8
0.06,3.0,50,grid,250,80,60,abs,100,220,10,1.0
0.06,10.0,90,honeycomb,200,60,60,pla,0,126,27,2.2
0.06,3.0,40,grid,205,65,60,pla,25,145,23,1.9
0.06,8.0,30,honeycomb,210,70,60,pla,50,88,26,1.6
0.06,5.0,80,grid,215,75,60,pla,75,92,33,2.1
0.06,10.0,50,honeycomb,220,80,60,pla,100,74,29,2.0
0.1,1.0,40,grid,220,60,120,abs,0,120,16,1.2
0.1,2.0,30,honeycomb,225,65,120,abs,25,144,12,1.1
0.1,1.0,50,grid,230,70,120,abs,50,265,10,0.9
0.1,9.0,80,honeycomb,240,75,120,abs,75,312,19,0.8
0.1,2.0,60,grid,250,80,120,abs,100,368,8,0.4
0.1,1.0,50,honeycomb,200,60,120,pla,0,180,11,1.6
0.1,4.0,40,grid,205,65,120,pla,25,176,12,1.2
0.1,3.0,50,honeycomb,210,70,120,pla,50,128,18,1.8
0.1,4.0,90,grid,215,75,120,pla,75,138,34,2.9
0.1,1.0,30,honeycomb,220,80,120,pla,100,121,14,1.5
0.15,4.0,50,grid,220,60,60,abs,0,168,27,2.4
0.15,7.0,10,honeycomb,225,65,60,abs,25,154,19,1.8
0.15,6.0,50,grid,230,70,60,abs,50,225,18,1.4
0.15,1.0,50,honeycomb,240,75,60,abs,75,289,9,0.6
0.15,7.0,80,grid,250,80,60,abs,100,326,13,0.7
0.15,3.0,80,honeycomb,200,60,60,pla,0,192,33,2.8
0.15,4.0,50,grid,205,65,60,pla,25,212,24,1.8
0.15,10.0,30,honeycomb,210,70,60,pla,50,168,26,2.1
0.15,6.0,40,grid,215,75,60,pla,75,172,22,2.3
0.15,1.0,10,honeycomb,220,80,60,pla,100,163,4,0.7
0.2,4.0,80,grid,220,60,40,abs,0,212,35,3.3
0.2,9.0,90,honeycomb,225,65,40,abs,25,276,34,3.1
0.2,7.0,30,grid,230,70,40,abs,50,298,28,2.2
0.2,6.0,90,honeycomb,240,75,40,abs,75,360,28,1.6
0.2,3.0,80,grid,250,80,40,abs,100,357,21,1.1
0.2,5.0,60,honeycomb,200,60,40,pla,0,321,28,2.7
0.2,4.0,20,grid,205,65,40,pla,25,265,14,1.8
0.2,5.0,60,honeycomb,210,70,40,pla,50,278,30,3.2
0.2,7.0,40,grid,215,75,40,pla,75,244,29,3.2
0.2,3.0,60,honeycomb,220,80,40,pla,100,220,27,3.1
0.02,8.0,90,grid,250,100,40,abs,100,98,5,0.95
0.06,5.0,90,grid,215,95,60,pla,75,92,38,2.2
0.09,8.0,60,honeycomb,210,70,60,pla,50,98,26,1.6
0.03,8.0,90,grid,220,60,40,abs,0,25,18,1.2
0.03,10.0,20,honeycomb,220,60,60,abs,0,75,37,2.4
0.02,6.0,10,grid,205,65,40,pla,25,55,12,1.3
0.06,10.0,100,honeycomb,200,60,60,pla,0,126,27,2.2
0.02,6.0,12,grid,205,65,40,pla,28,55,12,1.8
0.1,6.0,80,honeycomb,250,75,120,abs,75,312,19,0.8
0.1,4.0,95,grid,220,75,120,pla,100,121,14,1.5
0.15,3.0,10,honeycomb,225,65,70,abs,25,154,19,1.8
0.15,7.0,50,grid,230,70,60,abs,50,225,18,1.4
0.15,3.0,85,honeycomb,220,60,60,pla,0,192,33,2.8
0.06,12.0,50,honeycomb,230,80,65,pla,100,74,29,2.1
0.06,9.0,10,honeycomb,200,75,80,abs,75,200,9,0.9
0.04,2.0,80,grid,230,70,40,abs,50,40,12,0.8
0.02,4.5,70,honeycomb,240,85,40,abs,75,68,10,0.8
0.05,6.0,10,honeycomb,245,75,85,abs,75,205,5,0.5
0.15,1.0,50,grid,220,60,120,abs,0,120,16,1.5
0.19,6.1,45,honeycomb,200,60,66,abs,25,204,31,1.69
0.14,6.6,87,honeycomb,200,62,41,pla,75,124,27,2.63
0.19,9.9,96,grid,200,60,41,pla,0,220,30,3.14
0.03,5.4,69,grid,206,60,41,abs,25,159,8,0.56
0.11,5.1,42,grid,201,62,43,abs,75,154,12,1.06
0.19,2.5,83,grid,227,73,54,abs,25,261,25,1.98
0.1,11.3,37,honeycomb,250,77,40,abs,50,225,13,1.26
0.11,6.7,32,grid,233,63,42,abs,75,145,9,0.63
0.09,5.7,46,grid,201,80,52,pla,75,95,22,1.59
0.19,11.1,85,honeycomb,203,101,42,pla,100,355,35,2.29
0.08,5.4,69,honeycomb,230,81,127,pla,100,220,7,1.27
0.14,2.2,81,honeycomb,200,61,69,pla,0,142,9,0.81
0.13,11.5,53,honeycomb,214,86,40,pla,100,142,12,1.21
0.18,3.4,22,grid,202,63,42,abs,0,151,21,2.56
0.17,4.2,98,honeycomb,200,60,85,pla,0,216,32,2.97
0.04,5.0,42,grid,218,84,40,abs,50,85,5,0.95
0.19,3.7,75,grid,200,60,47,abs,0,162,33,2.17
0.13,6.5,98,grid,208,67,45,abs,25,143,28,2.31
0.09,2.2,14,honeycomb,200,69,45,abs,25,105,10,2.57
0.17,4.6,19,honeycomb,208,92,44,pla,50,119,29,2.33
0.13,8.3,94,honeycomb,200,60,100,pla,75,195,20,1.54
0.19,4.1,41,honeycomb,200,60,40,pla,0,238,13,2.54
0.1,5.0,99,grid,203,61,47,pla,25,247,14,1.56
0.15,2.8,77,honeycomb,200,60,46,abs,0,262,19,1.93
0.12,10.6,41,honeycomb,201,67,57,pla,50,83,33,2.95
0.04,4.2,62,grid,204,61,40,abs,25,157,16,0.98
0.02,2.1,43,grid,205,67,124,abs,25,25,7,0.51
0.12,4.1,52,honeycomb,211,67,51,abs,75,340,11,0.62
0.09,2.6,69,grid,231,72,71,abs,75,137,29,1.29
0.12,2.3,41,honeycomb,211,62,47,abs,50,278,9,0.61
0.03,2.0,95,grid,226,61,41,pla,75,85,11,0.84
0.1,7.6,51,honeycomb,202,60,55,abs,50,175,19,2.4
0.17,4.8,64,grid,219,73,71,abs,50,269,32,2.89
0.02,10.7,67,honeycomb,203,61,49,abs,100,53,12,2.21
0.15,6.4,73,honeycomb,200,60,46,abs,0,129,38,3.16
0.02,10.8,27,honeycomb,202,62,40,abs,100,4,13,1.53
0.08,4.1,97,grid,202,61,69,pla,0,60,5,1.61
0.07,8.8,21,honeycomb,203,64,49,abs,100,107,15,0.65
0.03,6.2,46,honeycomb,235,74,42,pla,100,57,24,1.58
0.11,10.6,67,honeycomb,218,61,41,abs,0,60,29,3.09
0.09,2.6,26,grid,208,71,131,abs,75,266,5,0.55
0.06,3.7,37,grid,200,61,85,pla,75,182,12,1.03
0.03,10.3,45,honeycomb,209,66,40,abs,100,12,15,2.16
0.1,11.8,49,honeycomb,200,60,40,pla,0,68,28,2.5
0.18,3.2,59,honeycomb,202,64,53,pla,0,191,8,1.18
0.03,5.9,93,grid,206,64,46,abs,25,141,8,0.71
0.09,2.9,68,honeycomb,223,91,41,abs,75,169,21,1.96
0.13,5.7,15,honeycomb,245,84,45,abs,100,64,14,1.15
0.16,3.4,23,grid,218,79,45,abs,75,307,6,0.68
0.2,2.3,98,grid,236,64,105,abs,100,276,19,2.15
0.04,11.6,54,honeycomb,202,109,40,pla,100,16,15,1.94
